payer,code,hospital_name,code_type,hospital_state,cms_baseline_rate,hospital_rate,payer_standard_charge_gross,payer_standard_charge_discounted_cash,payer_standard_charge_negotiated_dollar,payer_standard_charge_negotiated_percentage,payer_standard_charge_min,payer_standard_charge_max,payer_standard_charge_methodology
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,413.17,862.79,2200.0,1048.28,1048.28,,153.45,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,373.42,270.93,,,6438.0,,2513.89,6438.0,case rate
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,373.42,270.93,1800.0,1048.28,1048.28,,127.36,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,373.42,270.93,2200.0,1048.28,1048.28,,153.45,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,413.17,514.22,,,6438.0,,2513.89,6438.0,case rate
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,413.17,514.22,1800.0,1048.28,1048.28,,127.36,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,413.17,514.22,2200.0,1048.28,1048.28,,153.45,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,373.42,311.55,,,6438.0,,2513.89,6438.0,case rate
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,373.42,311.55,1800.0,1048.28,1048.28,,127.36,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,373.42,311.55,2200.0,1048.28,1048.28,,153.45,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,937.56,4608.0,,,6438.0,,2513.89,6438.0,case rate
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,937.56,4608.0,1800.0,1048.28,1048.28,,127.36,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,937.56,4608.0,2200.0,1048.28,1048.28,,153.45,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,937.56,1532.0,,,6438.0,,2513.89,6438.0,case rate
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,937.56,1532.0,1800.0,1048.28,1048.28,,127.36,1257.93,fee schedule
United Healthcare,43239,The Mount Sinai Hospital,CPT,NY,937.56,1532.0,2200.0,1048.28,1048.28,,153.45,1257.93,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,46.39,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,46.39,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,46.39,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,46.39,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,46.39,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,46.39,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,46.39,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,298.06,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,298.06,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,298.06,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,298.06,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,298.06,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,298.06,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,298.06,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,67.85,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,67.85,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,67.85,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,67.85,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,67.85,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,67.85,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,67.85,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,298.06,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,298.06,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,298.06,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,298.06,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,298.06,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,298.06,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,298.06,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,59.04,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,59.04,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,59.04,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,59.04,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,59.04,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,59.04,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,59.04,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.0,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.0,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.0,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.0,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.0,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.0,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.0,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,60.78,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,60.78,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,60.78,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,60.78,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,60.78,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,60.78,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,60.78,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,46.39,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,65.7,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,65.7,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,65.7,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,65.7,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,65.7,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,65.7,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,65.7,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,130.92,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,130.92,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,130.92,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,130.92,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,130.92,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,130.92,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,130.92,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,58.85,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,58.85,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,58.85,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,58.85,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,58.85,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,58.85,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,58.85,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,,267.0,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,,267.0,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,,267.0,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,,267.0,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,,267.0,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,,267.0,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,,267.0,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,77.29,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,65.7,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,71.09,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,71.09,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,71.09,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,71.09,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,71.09,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,71.09,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,71.09,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,57.96,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,66.0,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,66.0,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,66.0,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,66.0,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,66.0,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,66.0,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,66.0,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,76.3,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,76.3,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,76.3,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,76.3,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,76.3,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,76.3,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,78.59,76.3,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,57.96,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,57.96,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,57.96,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,57.96,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,57.96,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,57.96,385.0,250.25,261.59,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,73.68,57.96,,,377.13,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.65,,,323.34,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.65,,,384.57,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.65,385.0,250.25,79.79,,64.75,366.24,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.65,,,343.75,,343.75,384.57,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.65,,,421.18,,83.78,1009.22,fee schedule
Aetna,99283,Montefiore Medical Center,CPT,NY,69.5,66.65,385.0,250.25,261.59,,64.75,366.24,fee schedule
